RouteStartStore;Адрес отправки;RegionDelivery;RouteEndCity;RouteEndStore;Адрес доставки;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Воскресенск;МО_ВОСКРЕСЕНСК_3_МТС;Московская обл, г Воскресенск, ул Менделеева, д 15;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Воскресенск;МО_ВОСКРЕСЕНСК_5;Московская обл, г Воскресенск, ул Советская, д 13А, пом 10;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Воскресенск;МО_ВОСКРЕСЕНСК_8_МТС;Московская обл, г Воскресенск, ул Зелинского, д 4;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Воскресенск;МО_ВОСКРЕСЕНСК_9;Московская обл, г Воскресенск, ул Лермонтова, д 1;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Дзержинский;МО_ДЗЕРЖИНСКИЙ_1_МТС;Московская обл, г Дзержинский, ул Лесная, д 1;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Дзержинский;МО_ДЗЕРЖИНСКИЙ_4;Московская обл, г Дзержинский, ул Лесная, д 21;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Егорьевск;МО_ЕГОРЬЕВСК_2_МТС;Московская обл, г Егорьевск, ул Советская, д 77;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Егорьевск;МО_ЕГОРЬЕВСК_5_МТС_Телефон.ру;Московская обл, г Егорьевск, ул Советская, д 130;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Егорьевск;МО_ЕГОРЬЕВСК_6_МТС;Московская обл, г Егорьевск, ул Советская, д 157;;
ЛЮБЕРЦЫ_ХАБ;Район Люберецкий Поселок Октябрьский Расположение Ленина Улица, д.47;Московская область;Егорьевск;МО_ЕГОРЬЕВСК_7;Московская обл, г Егорьевск, ул Советская, д 133;;
