ofc_lat|ofc_long|courier_id|delivery_lat|delivery_long|visit_dt|height|length|width
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|5.00|15.00|22.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|4.00|37.00|18.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|2.00|15.00|10.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|20.00|22.00|2.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|5.00|25.00|20.00
43.235406|76.892700|44024114|43.231153|76.874283|2024-08-09 11:39:11+03|1.00|45.00|36.00
43.235406|76.892700|44073434|43.236782|76.841189|2024-08-09 08:47:29+03|0.00|0.00|0.00
43.235406|76.892700|44024460|43.255714|76.877382|2024-08-09 08:16:47+03|10.00|23.00|16.00
43.235406|76.892700|44024114|43.227271|76.891252|2024-08-09 07:11:44+03|2.00|9.00|10.00
43.235406|76.892700|44024114|43.227271|76.891252|2024-08-09 07:11:44+03|2.00|8.00|8.00
43.235406|76.892700|44071970|43.217548|76.869656|2024-08-09 13:33:13.439965+03|12.00|26.00|21.00
43.235406|76.892700|44024114|43.252596|76.886877|2024-08-09 07:11:09+03|3.00|30.00|21.00
43.235406|76.892700|44023718|43.256456|76.844414|2024-08-09 09:25:45+03|5.00|15.00|12.00
43.235406|76.892700|44071970|43.203020|76.848986|2024-08-09 12:12:27+03|3.00|25.00|35.00
43.235406|76.892700|44024472|43.219329|76.841584|2024-08-09 09:40:28+03|10.00|31.00|20.00
43.235406|76.892700|44024460|43.253364|76.869117|2024-08-09 09:20:02+03|5.00|16.00|11.00
43.235406|76.892700|44024460|43.253364|76.869117|2024-08-09 09:20:02+03|15.00|20.00|10.00
43.235406|76.892700|44024460|43.253364|76.869117|2024-08-09 09:20:02+03|3.00|11.00|10.00
