"car_type","car_type_numb","src","src_coordinates","dst","dst_coordinates"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",300168,"{""latitude"": 56.084394, ""longitude"": 37.155605}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",302856,"{""latitude"": 55.575239899, ""longitude"": 37.697530594}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",218210,"{""latitude"": 55.823819179, ""longitude"": 38.251653675}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",117501,"{""latitude"": 55.413049, ""longitude"": 37.588278}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",130744,"{""latitude"": 45.055356, ""longitude"": 39.067991}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",205228,"{""latitude"": 55.65431, ""longitude"": 37.888459}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",311800,"{""latitude"": 59.74376, ""longitude"": 30.509576}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",218623,"{""latitude"": 55.411823, ""longitude"": 37.589796}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",300865,"{""latitude"": 56.113115518, ""longitude"": 37.180161011}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",207803,"{""latitude"": 54.786513, ""longitude"": 32.100785}"
gazel,1,218402,"{""latitude"": 56.951769, ""longitude"": 40.941105}",210001,"{""latitude"": 55.125925956, ""longitude"": 37.556771605}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",130744,"{""latitude"": 45.055356, ""longitude"": 39.067991}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",208277,"{""latitude"": 44.662695, ""longitude"": 41.896576}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",121703,"{""latitude"": 55.743971, ""longitude"": 38.419892}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",158929,"{""latitude"": 51.601574, ""longitude"": 45.943636}"
gazel,1,6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}",301516,"{""latitude"": 48.779894, ""longitude"": 44.51004}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",207404,"{""latitude"": 57.662651, ""longitude"": 39.78925}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,203631,"{""latitude"": 59.234185, ""longitude"": 39.923862}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}",207404,"{""latitude"": 57.662651, ""longitude"": 39.78925}"
gazel,1,300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
gazel,1,300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}",210515,"{""latitude"": 55.918678542, ""longitude"": 37.562207434}"
gazel,1,300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
