route_id,office_id,hub_office_id,latitude,longitude,latitude,longitude
155,218616,130744,47.366609,39.716696,45.055356,39.067991
155,219030,130744,56.30041,101.700708,45.055356,39.067991
155,300168,130744,56.084394,37.155605,45.055356,39.067991
155,300571,130744,56.726696,60.578278,45.055356,39.067991
155,301229,130744,55.43485,37.611832,45.055356,39.067991
155,301339,130744,43.611071,39.732701,45.055356,39.067991
155,301516,130744,48.779894,44.51004,45.055356,39.067991
155,301562,132170,44.662814,41.895601,45.054368,39.069009
155,301920,130744,44.033866,43.165161,45.055356,39.067991
155,301957,130744,47.367953,39.71672,45.055356,39.067991
155,301983,130744,48.753836,44.481276,45.055356,39.067991
155,302222,301805,54.584504,55.907014,53.3914,50.328463
155,302738,130744,51.645263,46.009598,45.055356,39.067991
155,306771,130744,51.450719,46.136673,45.055356,39.067991
155,312617,132170,55.821289315,38.241913137,45.054368,39.069009
156,2737,130744,59.869844,30.519603,45.055356,39.067991
156,130744,205985,45.055356,39.067991,46.312237,39.946724
156,206236,302335,55.328742812,37.82100529,53.101049,46.583858
156,206348,301339,54.437235,37.464906,43.611071,39.732701
158,507,117819,55.38614,37.583393,57.142964,65.597514
158,686,117819,54.941901,82.916459,57.142964,65.597514
158,1733,117819,56.767604,60.81316,57.142964,65.597514
158,106660,117819,66.091811,76.687488,57.142964,65.597514
158,117986,117819,55.848147,48.843685,57.142964,65.597514
158,120762,117819,55.747074,38.4115,57.142964,65.597514
158,133858,302335,53.23448,44.906253,53.101049,46.583858
158,159402,117819,59.789885,30.436123,57.142964,65.597514
158,161003,117819,61.244861,73.500957,57.142964,65.597514
158,205228,117819,55.65431,37.888459,57.142964,65.597514
158,206348,146725,54.437235,37.464906,57.142984,65.597739
158,207390,207743,52.448389,30.996117,55.996703739,37.883953939
158,218210,117819,55.823819179,38.251653675,57.142964,65.597514
158,300571,117819,56.726696,60.578278,57.142964,65.597514
158,302856,302335,55.575239899,37.697530594,53.101049,46.583858
158,303221,117819,63.176843991,75.470132355,57.142964,65.597514
172,507,208277,55.38614,37.583393,44.662695,41.896576
172,1733,208277,56.767604,60.81316,44.662695,41.896576
172,6144,208277,48.7554,44.4405,44.662695,41.896576
172,117230,208277,53.091476,50.126734,44.662695,41.896576
172,117986,208277,55.848147,48.843685,44.662695,41.896576
172,120762,208277,55.747074,38.4115,44.662695,41.896576
172,130744,208277,45.055356,39.067991,44.662695,41.896576
172,132170,301562,45.054368,39.069009,44.662814,41.895601
172,158311,208277,44.03429,43.164327,44.662695,41.896576
172,158751,208277,43.088653,44.644355,44.662695,41.896576
172,158929,208277,51.601574,45.943636,44.662695,41.896576
172,159402,208277,59.789885,30.436123,44.662695,41.896576
172,205985,208277,46.312237,39.946724,44.662695,41.896576
172,206236,301920,55.328742812,37.82100529,44.033866,43.165161
172,206319,208277,51.726981,55.100593,44.662695,41.896576
172,206348,208277,54.437235,37.464906,44.662695,41.896576
172,209211,208277,43.03146948,47.433087104,44.662695,41.896576
